FID,STATUS,DISP_AREA,ADM2_CODE,ADM2_NAME,STR2_YEAR,EXP2_YEAR,ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME,Shape_Leng,Shape_Area,name,official_n,iso2,iso3
0,Member State,NO,"40,621",Ryansoro,"1,000","3,000","40,548",Gitega,43,Burundi,0.754713699,0.013313395,Burundi,Republic of Burundi,BI,BDI
1,Member State,NO,"40,667",Ndava,"1,000","3,000","40,555",Mwaro,43,Burundi,0.721688743,0.013684634,Burundi,Republic of Burundi,BI,BDI
2,Member State,NO,"40,593",Buyengero,"1,000","3,000","40,545",Bururi,43,Burundi,0.744050311,0.016752941,Burundi,Republic of Burundi,BI,BDI
3,Member State,NO,"40,580",Bugarama,"2,004","3,000","40,544",Bujumbura Rural,43,Burundi,0.622148855,0.010562533,Burundi,Republic of Burundi,BI,BDI
4,Member State,NO,"40,590",Administrative unit not available,"1,000","3,000","40,545",Bururi,43,Burundi,1.383936388,0.062332947,Burundi,Republic of Burundi,BI,BDI
5,Member State,NO,"40,591",Burambi,"1,000","3,000","40,545",Bururi,43,Burundi,0.803153548,0.022236217,Burundi,Republic of Burundi,BI,BDI
6,Member State,NO,"40,753",Kanyosha1,"1,000","3,000","40,544",Bujumbura Rural,43,Burundi,0.463058133,0.006398304,Burundi,Republic of Burundi,BI,BDI
7,Member State,NO,"40,582",Kabezi,"1,000","3,000","40,544",Bujumbura Rural,43,Burundi,0.367811302,0.005845453,Burundi,Republic of Burundi,BI,BDI
8,Member State,NO,"40,586",Muhuta,"2,004","3,000","40,544",Bujumbura Rural,43,Burundi,0.588314913,0.010543449,Burundi,Republic of Burundi,BI,BDI
9,Member State,NO,"40,755",Mukike,"1,000","3,000","40,544",Bujumbura Rural,43,Burundi,0.623410942,0.011542071,Burundi,Republic of Burundi,BI,BDI
10,Member State,NO,"40,756",Mutambu,"1,000","3,000","40,544",Bujumbura Rural,43,Burundi,0.549886859,0.006585309,Burundi,Republic of Burundi,BI,BDI
11,Member State,NO,"40,757",Nyabiraba,"1,000","3,000","40,544",Bujumbura Rural,43,Burundi,0.536115741,0.00638481,Burundi,Republic of Burundi,BI,BDI
12,Member State,NO,"40,592",Bururi,"1,000","3,000","40,545",Bururi,43,Burundi,1.012702084,0.031358223,Burundi,Republic of Burundi,BI,BDI
13,Member State,NO,"40,651",Vugizo,"1,000","3,000","40,552",Makamba,43,Burundi,0.721429451,0.018099875,Burundi,Republic of Burundi,BI,BDI
14,Member State,NO,"40,599",Vyanda,"1,000","3,000","40,545",Bururi,43,Burundi,0.634191047,0.018024425,Burundi,Republic of Burundi,BI,BDI
