ADM2_CODE,COUNT,AREA,SUM,FID,STATUS,DISP_AREA,ADM2_CODE_1,ADM2_NAME,STR2_YEAR,EXP2_YEAR,ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME,Shape_Leng,Shape_Area
1379,7935,1,129039,4427,Member State,NO,1379,Bakel,2008,3000,1377,Tambacounda,217,Senegal,5.133289,0.552985
1380,1662,0,118805,4431,Member State,NO,1380,Birkilane,2008,3000,1378,Kaffrine,217,Senegal,1.865459,0.115529
1381,3453,0,136591,4424,Member State,NO,1381,Bounkiling,2008,3000,1376,Sedhiou,217,Senegal,2.49646,0.240637
1382,216,0,2519412,4435,Member State,NO,1382,Dakar,2008,3000,2636,Dakar,217,Senegal,1.046622,0.0149
1383,1909,0,141460,4446,Member State,NO,1383,Gossas,2008,3000,47586,Fatick,217,Senegal,2.339848,0.132566
1384,18972,1,96668,4428,Member State,NO,1384,Goudiry,2008,3000,1377,Tambacounda,217,Senegal,6.461723,1.31593
1394,2100,0,197944,4425,Member State,NO,1394,Goudomp,2008,3000,1376,Sedhiou,217,Senegal,2.479394,0.146112
1395,886,0,65843,4415,Member State,NO,1395,Guinguineo,2008,3000,1373,Kaolack,217,Senegal,1.057668,0.061336
1396,1477,0,90396,4432,Member State,NO,1396,Kaffrine,2008,3000,1378,Kaffrine,217,Senegal,1.676821,0.102475
1397,8484,1,60572,4418,Member State,NO,1397,Kedougou,2008,3000,1374,Kedougou,217,Senegal,5.228016,0.59004
1408,4303,0,247685,4421,Member State,NO,1408,Kolda,2008,3000,1375,Kolda,217,Senegal,3.479721,0.300077
1486,5462,0,143400,4433,Member State,NO,1486,Koungueul,2006,3000,1378,Kaffrine,217,Senegal,2.606602,0.379618
1488,7349,1,127281,4429,Member State,NO,1488,Koupentoum,2008,3000,1377,Tambacounda,217,Senegal,3.324582,0.509446
1497,5019,0,183632,4434,Member State,NO,1497,Maleme hodar,2008,3000,1378,Kaffrine,217,Senegal,2.479633,0.34827
1499,5708,0,94574,4422,Member State,NO,1499,Medina yoro foula,2008,3000,1375,Kolda,217,Senegal,3.195626,0.396727
1510,2411,0,19267,4419,Member State,NO,1510,Salemata,2008,3000,1374,Kedougou,217,Senegal,2.677767,0.166312
1538,9420,1,29164,4420,Member State,NO,1538,Saraya,2008,3000,1374,Kedougou,217,Senegal,5.396799,0.653947
