,start,end,country,type,subtype,killed,total_affected,est_damage,disaster_n,location
3,00/4/1980,00/4/1980,Bangladesh,Storm,Tropical cyclone,11.0,1050.0,,1980-0038,
7,1980-08-04 00:00:00,1980-08-04 00:00:00,Cuba,Storm,Tropical cyclone,3.0,,,1980-0229,
9,1980-08-05 00:00:00,1980-08-05 00:00:00,Haiti,Storm,Tropical cyclone,220.0,1165000.0,400.0,1980-0078,South West
9,1980-08-05 00:00:00,1980-08-05 00:00:00,Haiti,Storm,Tropical cyclone,220.0,1165000.0,400.0,1980-0078, Port Au Prince
17,1980-10-16 00:00:00,1980-10-16 00:00:00,India,Storm,Tropical cyclone,28.0,,,1980-0227,Srikakulam
17,1980-10-16 00:00:00,1980-10-16 00:00:00,India,Storm,Tropical cyclone,28.0,,,1980-0227, Visakhapatnam
17,1980-10-16 00:00:00,1980-10-16 00:00:00,India,Storm,Tropical cyclone,28.0,,,1980-0227, East & West Godavari districts 
17,1980-10-16 00:00:00,1980-10-16 00:00:00,India,Storm,Tropical cyclone,28.0,,,1980-0227,Andhra Pradesh
18,1980-12-03 00:00:00,1980-12-03 00:00:00,India,Storm,Tropical cyclone,,,,1980-0228,Tamil Nadu
25,1980-02-15 00:00:00,1980-02-15 00:00:00,Indonesia,Storm,Tropical cyclone,,800.0,,1980-0315,West Java
39,1980-07-21 00:00:00,1980-07-21 00:00:00,Philippines,Storm,Tropical cyclone,31.0,600000.0,15.4,1980-0067,Northern
40,1980-07-25 00:00:00,1980-07-25 00:00:00,Philippines,Storm,Tropical cyclone,40.0,190000.0,,1980-0070,Cagayan Valley 
40,1980-07-25 00:00:00,1980-07-25 00:00:00,Philippines,Storm,Tropical cyclone,40.0,190000.0,,1980-0070,Northwestern
41,1980-11-06 00:00:00,1980-11-06 00:00:00,Philippines,Storm,Tropical cyclone,101.0,1004000.0,102.3,1980-0099,North
41,1980-11-06 00:00:00,1980-11-06 00:00:00,Philippines,Storm,Tropical cyclone,101.0,1004000.0,102.3,1980-0099,Central Luzon
42,1980-03-20 00:00:00,1980-03-20 00:00:00,Philippines,Storm,Tropical cyclone,4.0,665.0,0.402,1980-0132,
43,1980-05-07 00:00:00,1980-05-07 00:00:00,Philippines,Storm,Tropical cyclone,,3063.0,0.289,1980-0133,
44,1980-07-19 00:00:00,1980-07-19 00:00:00,Philippines,Storm,Tropical cyclone,36.0,69237.0,,1980-0136,
48,1981-12-11 00:00:00,1981-12-11 00:00:00,Bangladesh,Storm,Tropical cyclone,1000.0,2000000.0,,1981-0108,
49,1981-03-06 00:00:00,1981-03-06 00:00:00,Bangladesh,Storm,Tropical cyclone,15.0,25000.0,,1981-0274,Comilla
